,obs,action
0,"[[[ 1.          0.7666414   0.          0.3125      0.        ]
  [ 1.          0.13195688  0.6666667  -0.02384181  0.        ]
  [ 1.          0.250244    0.6666667  -0.0426858   0.        ]
  [ 1.          0.3675235   0.         -0.02721117  0.        ]
  [ 1.          0.48016357  0.6666667  -0.04577939  0.        ]]]",[4]
1,"[[[ 1.          0.87966603  0.          0.25823045  0.        ]
  [ 1.          0.12072425  0.43891323 -0.0462882  -0.0402808 ]
  [ 1.          0.24011908  0.6666667  -0.0181292   0.        ]
  [ 1.          0.36384967  0.23183006  0.00269277  0.04236091]
  [ 1.          0.4631718   0.6666667  -0.04362878  0.        ]]]",[4]
2,"[[[ 1.          0.98138124  0.          0.25108385  0.        ]
  [ 1.          0.10705121  0.34181917 -0.02286335 -0.00359814]
  [ 1.          0.23114626  0.6666667  -0.02937453  0.        ]
  [ 1.          0.36808535  0.3275805   0.01574344  0.00258471]
  [ 1.          0.44536704  0.6666667  -0.04527634  0.        ]]]",[4]
3,"[[[ 1.0000000e+00  1.0000000e+00  0.0000000e+00  2.5014272e-01
    0.0000000e+00]
  [ 1.0000000e+00  9.9774070e-02  3.3393797e-01 -1.2263751e-02
   -2.5975244e-04]
  [ 1.0000000e+00  2.1784766e-01  6.6666669e-01 -3.8080487e-02
    0.0000000e+00]
  [ 1.0000000e+00  3.7481108e-01  3.3302799e-01  1.7843124e-02
    1.3752624e-04]
  [ 1.0000000e+00  4.2742735e-01  6.6666669e-01 -4.3598440e-02
    0.0000000e+00]]]",[4]
4,"[[[ 1.0000000e+00  1.0000000e+00  0.0000000e+00  2.5001881e-01
    0.0000000e+00]
  [ 1.0000000e+00  9.6036598e-02  3.3337367e-01 -5.5267359e-03
   -1.7479642e-05]
  [ 1.0000000e+00  2.0181046e-01  6.6666669e-01 -4.2351875e-02
    0.0000000e+00]
  [ 1.0000000e+00  3.8205060e-01  3.3331725e-01  1.8317960e-02
    7.2514899e-06]
  [ 1.0000000e+00  4.1055211e-01  6.6666669e-01 -3.9837684e-02
    0.0000000e+00]]]",[4]
5,"[[[ 1.0000000e+00  1.0000000e+00  0.0000000e+00  2.5000247e-01
    0.0000000e+00]
  [ 1.0000000e+00  9.4597429e-02  3.3333591e-01 -1.0671428e-03
   -1.1209576e-06]
  [ 1.0000000e+00  1.8460244e-01  6.6666669e-01 -4.3539897e-02
    0.0000000e+00]
  [ 1.0000000e+00  3.8937637e-01  3.3333248e-01  1.8237244e-02
    3.8186732e-07]
  [ 1.0000000e+00  3.9530697e-01  6.6666669e-01 -3.5513945e-02
    0.0000000e+00]]]",[4]
6,"[[[ 1.0000000e+00  1.0000000e+00  0.0000000e+00  2.5000033e-01
    0.0000000e+00]
  [ 1.0000000e+00  9.4685182e-02  3.3333349e-01  1.9131025e-03
   -6.9576032e-08]
  [ 1.0000000e+00  1.6725303e-01  6.6666669e-01 -4.2841949e-02
    0.0000000e+00]
  [ 1.0000000e+00  3.8177288e-01  6.6666669e-01 -3.1400800e-02
    0.0000000e+00]
  [ 1.0000000e+00  3.9662209e-01  3.3333328e-01  1.7892629e-02
    2.0151479e-08]]]",[4]
7,"[[[ 1.0000000e+00  1.0000000e+00  0.0000000e+00  2.5000003e-01
    0.0000000e+00]
  [ 1.0000000e+00  9.5798142e-02  3.3333334e-01  3.9339433e-03
   -4.2236499e-09]
  [ 1.0000000e+00  1.5037322e-01  6.6666669e-01 -4.1088060e-02
    0.0000000e+00]
  [ 1.0000000e+00  3.6980796e-01  6.6666669e-01 -2.7791502e-02
    0.0000000e+00]
  [ 1.0000000e+00  4.0370467e-01  3.3333334e-01  1.7406410e-02
    1.0676184e-09]]]",[4]
8,"[[[ 1.0000000e+00  1.0000000e+00  0.0000000e+00  2.5000000e-01
    0.0000000e+00]
  [ 1.0000000e+00  9.7611696e-02  3.3333334e-01  5.3351056e-03
   -2.5250169e-10]
  [ 1.0000000e+00  1.3429044e-01  6.6666669e-01 -3.8823619e-02
    0.0000000e+00]
  [ 1.0000000e+00  3.5919681e-01  6.6666669e-01 -2.4741974e-02
    0.0000000e+00]
  [ 1.0000000e+00  4.1057861e-01  3.3333334e-01  1.6840624e-02
    5.6844307e-11]]]",[4]
9,"[[[ 1.0000000e+00  1.0000000e+00  0.0000000e+00  2.5000000e-01
    0.0000000e+00]
  [ 1.0000000e+00  9.9915691e-02  3.3333334e-01  6.3322717e-03
   -1.4932944e-11]
  [ 1.0000000e+00  1.1914879e-01  6.6666669e-01 -3.6390357e-02
    0.0000000e+00]
  [ 1.0000000e+00  3.4972093e-01  6.6666669e-01 -2.2206565e-02
    0.0000000e+00]
  [ 1.0000000e+00  4.1721809e-01  3.3333334e-01  1.6228875e-02
    3.0433434e-12]]]",[4]
